accuracy,precision,recall,f1,log_loss,roc_auc,target,split,model,feature_mode,rmse,mae,r2
0.953125,1.0,0.6086956521739131,0.7567567567567568,0.14176004232733788,1.0,starved,val,log_reg,text_only,,,
0.9520833333333333,1.0,0.6,0.75,0.13766455236962602,1.0,starved,test,log_reg,text_only,,,
1.0,1.0,1.0,1.0,0.0008067725653774736,1.0,starved,val,rf,text_only,,,
1.0,1.0,1.0,1.0,0.0005585778466902678,1.0,starved,test,rf,text_only,,,
0.9354166666666667,1.0,0.4608695652173913,0.6309523809523809,0.1448482739161445,1.0,starved,val,gb,text_only,,,
0.9510416666666667,1.0,0.591304347826087,0.7431693989071039,0.13933576006584408,1.0,starved,test,gb,text_only,,,
0.9885416666666667,1.0,0.9517543859649122,0.9752808988764045,0.2153613070521171,1.0,failed,val,log_reg,text_only,,,
0.98125,1.0,0.9210526315789473,0.958904109589041,0.2160137947834827,1.0,failed,test,log_reg,text_only,,,
1.0,1.0,1.0,1.0,0.0023584619113663956,1.0,failed,val,rf,text_only,,,
1.0,1.0,1.0,1.0,0.0025269137231035245,1.0,failed,test,rf,text_only,,,
0.8520833333333333,1.0,0.37719298245614036,0.5477707006369427,0.31420232346898,0.9919321014284346,failed,val,gb,text_only,,,
0.8479166666666667,1.0,0.35964912280701755,0.5290322580645161,0.31333964713420887,0.9853621416930305,failed,test,gb,text_only,,,
0.953125,1.0,0.6086956521739131,0.7567567567567568,0.14176004232733788,1.0,dropped,val,log_reg,text_only,,,
0.9520833333333333,1.0,0.6,0.75,0.13766455236962602,1.0,dropped,test,log_reg,text_only,,,
1.0,1.0,1.0,1.0,0.0008067725653774736,1.0,dropped,val,rf,text_only,,,
1.0,1.0,1.0,1.0,0.0005585778466902678,1.0,dropped,test,rf,text_only,,,
0.9354166666666667,1.0,0.4608695652173913,0.6309523809523809,0.1448482739161445,1.0,dropped,val,gb,text_only,,,
0.9510416666666667,1.0,0.591304347826087,0.7431693989071039,0.13933576006584408,1.0,dropped,test,gb,text_only,,,
0.9822916666666667,0.9773030707610146,1.0,0.9885212694125591,0.21908051770773795,0.9999999999999999,has_winner,val,log_reg,text_only,,,
0.9760416666666667,0.9695364238410596,1.0,0.98453261600538,0.21167974201213108,1.0,has_winner,test,log_reg,text_only,,,
1.0,1.0,1.0,1.0,0.0010505364948066277,1.0,has_winner,val,rf,text_only,,,
1.0,1.0,1.0,1.0,0.0010567905079427755,1.0,has_winner,test,rf,text_only,,,
0.846875,0.8327645051194539,1.0,0.9087523277467412,0.3052954090781185,0.9996944204774231,has_winner,val,gb,text_only,,,
0.8697916666666666,0.8541423570595099,1.0,0.921334172435494,0.298745302645564,0.9998502061163839,has_winner,test,gb,text_only,,,
,,,,,,num_submissions,val,rf_reg,text_only,0.08125945457811873,0.024286458333333347,0.9998028394364152
,,,,,,num_submissions,test,rf_reg,text_only,0.08988809593971091,0.026505208333333346,0.9997588771401275
,,,,,,num_submissions,val,gb_reg,text_only,4.106902996659488,3.552923079735875,0.4963821261426633
,,,,,,num_submissions,test,gb_reg,text_only,4.110857903557435,3.5250225519666127,0.49568840410875437
,,,,,,winning_score,val,rf_reg,text_only,0.3552877545839402,0.11871187500009901,0.9999009846434505
,,,,,,winning_score,test,rf_reg,text_only,0.4081462386989107,0.1419156770834367,0.9998654908541527
,,,,,,winning_score,val,gb_reg,text_only,24.305188312762862,19.88520482377184,0.5366170418548191
,,,,,,winning_score,test,gb_reg,text_only,24.33523282534114,19.96299000982129,0.521820196677925
