method,seed,episode,reward,success,steps,cost_ratio,budgeted_success,override_rate,override_win_rate,override_regret_rate,harmful_fraction,beneficial_fraction,action_entropy
cstride_gate_only,0,0,77.0840837781067,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,1,77.19917629839853,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,2,77.31289553436758,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,3,77.42523051627776,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,4,77.5361701054436,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,5,77.64570565356678,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,6,77.75382925639138,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,7,77.86053504053078,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,8,77.96581905752635,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,9,78.06967917886942,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,10,78.17211499242907,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,11,78.27312770067404,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,12,78.37272002102733,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,13,78.47089608864334,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,14,78.56766136185311,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
cstride_gate_only,0,15,78.66302253048113,1.0,11,0.3234848484848485,1.0,0.0,0.0,0.0,0.0,0.0,0.7595473614748642
